№,Словоформа,Частота I,Ранг,I норм (i\K),r^(-1),0.1*r^(-1)
1,не,20,1,0.0662,1.0,0.1
2,в,16,2,0.053,0.5,0.05
3,противника,14,3,0.0464,0.3333,0.0333
4,и,13,4,0.043,0.25,0.025
5,вы,7,5,0.0232,0.2,0.02
6,с,6,6,0.0199,0.1667,0.0167
7,споре,6,6,0.0199,0.1667,0.0167
8,его,6,6,0.0199,0.1667,0.0167
9,он,5,7,0.0166,0.1429,0.0143
10,это,5,7,0.0166,0.1429,0.0143
11,достоинством,4,8,0.0132,0.125,0.0125
12,человек,4,8,0.0132,0.125,0.0125
13,если,4,8,0.0132,0.125,0.0125
14,своего,4,8,0.0132,0.125,0.0125
15,спор,4,8,0.0132,0.125,0.0125
16,как,4,8,0.0132,0.125,0.0125
17,что,4,8,0.0132,0.125,0.0125
18,нет,4,8,0.0132,0.125,0.0125
19,спорить,3,9,0.0099,0.1111,0.0111
20,когда,3,9,0.0099,0.1111,0.0111
21,свои,3,9,0.0099,0.1111,0.0111
22,который,3,9,0.0099,0.1111,0.0111
23,того,3,9,0.0099,0.1111,0.0111
24,ему,3,9,0.0099,0.1111,0.0111
25,позиции,3,9,0.0099,0.1111,0.0111
26,спорящий,3,9,0.0099,0.1111,0.0111
27,к,3,9,0.0099,0.1111,0.0111
28,убеждений,3,9,0.0099,0.1111,0.0111
29,до,3,9,0.0099,0.1111,0.0111
30,или,3,9,0.0099,0.1111,0.0111
31,из,3,9,0.0099,0.1111,0.0111
32,пестро,3,9,0.0099,0.1111,0.0111
33,уметь,2,10,0.0066,0.1,0.01
34,возражать,2,10,0.0066,0.1,0.01
35,всего,2,10,0.0066,0.1,0.01
36,свою,2,10,0.0066,0.1,0.01
37,ведет,2,10,0.0066,0.1,0.01
38,сразу,2,10,0.0066,0.1,0.01
39,же,2,10,0.0066,0.1,0.01
40,над,2,10,0.0066,0.1,0.01
41,своим,2,10,0.0066,0.1,0.01
42,пустой,2,10,0.0066,0.1,0.01
43,внимательно,2,10,0.0066,0.1,0.01
44,противник,2,10,0.0066,0.1,0.01
45,переспрашивая,2,10,0.0066,0.1,0.01
46,тем,2,10,0.0066,0.1,0.01
47,себе,2,10,0.0066,0.1,0.01
48,за,2,10,0.0066,0.1,0.01
49,спором,2,10,0.0066,0.1,0.01
50,для,2,10,0.0066,0.1,0.01
51,чтобы,2,10,0.0066,0.1,0.01
52,спора,2,10,0.0066,0.1,0.01
53,но,2,10,0.0066,0.1,0.01
54,на,2,10,0.0066,0.1,0.01
55,потому,2,10,0.0066,0.1,0.01
56,от,2,10,0.0066,0.1,0.01
57,то,2,10,0.0066,0.1,0.01
58,либо,2,10,0.0066,0.1,0.01
59,спокойно,2,10,0.0066,0.1,0.01
60,без,2,10,0.0066,0.1,0.01
61,помните,2,10,0.0066,0.1,0.01
62,ничего,2,10,0.0066,0.1,0.01
63,правоту,2,10,0.0066,0.1,0.01
64,этим,2,10,0.0066,0.1,0.01
65,только,2,10,0.0066,0.1,0.01
66,ваших,2,10,0.0066,0.1,0.01
67,общих,2,10,0.0066,0.1,0.01
68,быть,2,10,0.0066,0.1,0.01
69,должен,2,10,0.0066,0.1,0.01
70,у,2,10,0.0066,0.1,0.01
71,ах,2,10,0.0066,0.1,0.01
72,жизни,1,11,0.0033,0.0909,0.0091
73,приходится,1,11,0.0033,0.0909,0.0091
74,очень,1,11,0.0033,0.0909,0.0091
75,много,1,11,0.0033,0.0909,0.0091
76,опровергать,1,11,0.0033,0.0909,0.0091
77,мнение,1,11,0.0033,0.0909,0.0091
78,других,1,11,0.0033,0.0909,0.0091
79,соглашаться,1,11,0.0033,0.0909,0.0091
80,лучше,1,11,0.0033,0.0909,0.0091
81,проявляет,1,11,0.0033,0.0909,0.0091
82,воспитанность,1,11,0.0033,0.0909,0.0091
83,дискуссию,1,11,0.0033,0.0909,0.0091
84,спорит,1,11,0.0033,0.0909,0.0091
85,отстаивая,1,11,0.0033,0.0909,0.0091
86,убеждения,1,11,0.0033,0.0909,0.0091
87,обнаруживается,1,11,0.0033,0.0909,0.0091
88,интеллигентность,1,11,0.0033,0.0909,0.0091
89,логичность,1,11,0.0033,0.0909,0.0091
90,мышления,1,11,0.0033,0.0909,0.0091
91,вежливость,1,11,0.0033,0.0909,0.0091
92,умение,1,11,0.0033,0.0909,0.0091
93,уважать,1,11,0.0033,0.0909,0.0091
94,людей,1,11,0.0033,0.0909,0.0091
95,самоуважение,1,11,0.0033,0.0909,0.0091
96,заботится,1,11,0.0033,0.0909,0.0091
97,столько,1,11,0.0033,0.0909,0.0091
98,об,1,11,0.0033,0.0909,0.0091
99,истине,1,11,0.0033,0.0909,0.0091
100,сколько,1,11,0.0033,0.0909,0.0091
101,о,1,11,0.0033,0.0909,0.0091
102,победе,1,11,0.0033,0.0909,0.0091
103,противником,1,11,0.0033,0.0909,0.0091
104,умеет,1,11,0.0033,0.0909,0.0091
105,выслушать,1,11,0.0033,0.0909,0.0091
106,стремится,1,11,0.0033,0.0909,0.0091
107,перекричать,1,11,0.0033,0.0909,0.0091
108,испугать,1,11,0.0033,0.0909,0.0091
109,обвинениями,1,11,0.0033,0.0909,0.0091
110,умный,1,11,0.0033,0.0909,0.0091
111,вежливый,1,11,0.0033,0.0909,0.0091
112,спорщик,1,11,0.0033,0.0909,0.0091
113,прежде,1,11,0.0033,0.0909,0.0091
114,выслушивает,1,11,0.0033,0.0909,0.0091
115,человека,1,11,0.0033,0.0909,0.0091
116,согласен,1,11,0.0033,0.0909,0.0091
117,мнением,1,11,0.0033,0.0909,0.0091
118,больше,1,11,0.0033,0.0909,0.0091
119,что-либо,1,11,0.0033,0.0909,0.0091
120,неясно,1,11,0.0033,0.0909,0.0091
121,позициях,1,11,0.0033,0.0909,0.0091
122,задает,1,11,0.0033,0.0909,0.0091
123,дополнительные,1,11,0.0033,0.0909,0.0091
124,вопросы,1,11,0.0033,0.0909,0.0091
125,еще,1,11,0.0033,0.0909,0.0091
126,даже,1,11,0.0033,0.0909,0.0091
127,все,1,11,0.0033,0.0909,0.0091
128,ясны,1,11,0.0033,0.0909,0.0091
129,выберет,1,11,0.0033,0.0909,0.0091
130,самые,1,11,0.0033,0.0909,0.0091
131,слабые,1,11,0.0033,0.0909,0.0091
132,пункты,1,11,0.0033,0.0909,0.0091
133,утверждениях,1,11,0.0033,0.0909,0.0091
134,переспросит,1,11,0.0033,0.0909,0.0091
135,ли,1,11,0.0033,0.0909,0.0091
136,утверждает,1,11,0.0033,0.0909,0.0091
137,выслушивая,1,11,0.0033,0.0909,0.0091
138,достигает,1,11,0.0033,0.0909,0.0091
139,трех,1,11,0.0033,0.0909,0.0091
140,целей,1,11,0.0033,0.0909,0.0091
141,сможет,1,11,0.0033,0.0909,0.0091
142,возразить,1,11,0.0033,0.0909,0.0091
143,неправильно,1,11,0.0033,0.0909,0.0091
144,поняли,1,11,0.0033,0.0909,0.0091
145,этого,1,11,0.0033,0.0909,0.0091
146,утверждал,1,11,0.0033,0.0909,0.0091
147,внимательным,1,11,0.0033,0.0909,0.0091
148,отношением,1,11,0.0033,0.0909,0.0091
149,мнению,1,11,0.0033,0.0909,0.0091
150,завоевывает,1,11,0.0033,0.0909,0.0091
151,симпатии,1,11,0.0033,0.0909,0.0091
152,среди,1,11,0.0033,0.0909,0.0091
153,тех,1,11,0.0033,0.0909,0.0091
154,кто,1,11,0.0033,0.0909,0.0091
155,наблюдает,1,11,0.0033,0.0909,0.0091
156,слушая,1,11,0.0033,0.0909,0.0091
157,выигрывает,1,11,0.0033,0.0909,0.0091
158,время,1,11,0.0033,0.0909,0.0091
159,обдумать,1,11,0.0033,0.0909,0.0091
160,собственные,1,11,0.0033,0.0909,0.0091
161,возражения,1,11,0.0033,0.0909,0.0091
162,а,1,11,0.0033,0.0909,0.0091
163,тоже,1,11,0.0033,0.0909,0.0091
164,немаловажно,1,11,0.0033,0.0909,0.0091
165,уточнить,1,11,0.0033,0.0909,0.0091
166,дальнейшем,1,11,0.0033,0.0909,0.0091
167,возражая,1,11,0.0033,0.0909,0.0091
168,никогда,1,11,0.0033,0.0909,0.0091
169,следует,1,11,0.0033,0.0909,0.0091
170,прибегать,1,11,0.0033,0.0909,0.0091
171,недозволенным,1,11,0.0033,0.0909,0.0091
172,приемам,1,11,0.0033,0.0909,0.0091
173,придерживаться,1,11,0.0033,0.0909,0.0091
174,следующих,1,11,0.0033,0.0909,0.0091
175,правил,1,11,0.0033,0.0909,0.0091
176,обвинять,1,11,0.0033,0.0909,0.0091
177,читать,1,11,0.0033,0.0909,0.0091
178,сердце,1,11,0.0033,0.0909,0.0091
179,пытаться,1,11,0.0033,0.0909,0.0091
180,проникнуть,1,11,0.0033,0.0909,0.0091
181,мотивы,1,11,0.0033,0.0909,0.0091
182,стоите,1,11,0.0033,0.0909,0.0091
183,этой,1,11,0.0033,0.0909,0.0091
184,точке,1,11,0.0033,0.0909,0.0091
185,зрения,1,11,0.0033,0.0909,0.0091
186,она,1,11,0.0033,0.0909,0.0091
187,вам,1,11,0.0033,0.0909,0.0091
188,выгодна,1,11,0.0033,0.0909,0.0091
189,так,1,11,0.0033,0.0909,0.0091
190,говорите,1,11,0.0033,0.0909,0.0091
191,сам,1,11,0.0033,0.0909,0.0091
192,такой,1,11,0.0033,0.0909,0.0091
193,тп,1,11,0.0033,0.0909,0.0091
194,отклоняться,1,11,0.0033,0.0909,0.0091
