№,Словоформа,Ранг,I,I норм,0.1r-1
0,не,1,20,0.0662,0.1
1,в,2,16,0.053,0.05
2,противника,3,14,0.0464,0.033
3,и,4,13,0.043,0.025
4,вы,5,7,0.0232,0.02
5,с,6,6,0.0199,0.017
6,споре,6,6,0.0199,0.017
7,его,6,6,0.0199,0.017
8,он,7,5,0.0166,0.014
9,это,7,5,0.0166,0.014
10,достоинством,8,4,0.0132,0.013
11,человек,8,4,0.0132,0.013
12,если,8,4,0.0132,0.013
13,своего,8,4,0.0132,0.013
14,спор,8,4,0.0132,0.013
15,как,8,4,0.0132,0.013
16,что,8,4,0.0132,0.013
17,нет,8,4,0.0132,0.013
18,спорить,9,3,0.0099,0.011
19,когда,9,3,0.0099,0.011
20,свои,9,3,0.0099,0.011
21,который,9,3,0.0099,0.011
22,того,9,3,0.0099,0.011
23,ему,9,3,0.0099,0.011
24,позиции,9,3,0.0099,0.011
25,спорящий,9,3,0.0099,0.011
26,к,9,3,0.0099,0.011
27,убеждений,9,3,0.0099,0.011
28,до,9,3,0.0099,0.011
29,или,9,3,0.0099,0.011
30,из,9,3,0.0099,0.011
31,пестро,9,3,0.0099,0.011
32,уметь,10,2,0.0066,0.01
33,возражать,10,2,0.0066,0.01
34,всего,10,2,0.0066,0.01
35,свою,10,2,0.0066,0.01
36,ведет,10,2,0.0066,0.01
37,сразу,10,2,0.0066,0.01
38,же,10,2,0.0066,0.01
39,над,10,2,0.0066,0.01
40,своим,10,2,0.0066,0.01
41,пустой,10,2,0.0066,0.01
42,внимательно,10,2,0.0066,0.01
43,противник,10,2,0.0066,0.01
44,переспрашивая,10,2,0.0066,0.01
45,тем,10,2,0.0066,0.01
46,себе,10,2,0.0066,0.01
47,за,10,2,0.0066,0.01
48,спором,10,2,0.0066,0.01
49,для,10,2,0.0066,0.01
50,чтобы,10,2,0.0066,0.01
51,спора,10,2,0.0066,0.01
52,но,10,2,0.0066,0.01
53,на,10,2,0.0066,0.01
54,потому,10,2,0.0066,0.01
55,от,10,2,0.0066,0.01
56,то,10,2,0.0066,0.01
57,либо,10,2,0.0066,0.01
58,спокойно,10,2,0.0066,0.01
59,без,10,2,0.0066,0.01
60,помните,10,2,0.0066,0.01
61,ничего,10,2,0.0066,0.01
62,правоту,10,2,0.0066,0.01
63,этим,10,2,0.0066,0.01
64,только,10,2,0.0066,0.01
65,ваших,10,2,0.0066,0.01
66,общих,10,2,0.0066,0.01
67,быть,10,2,0.0066,0.01
68,должен,10,2,0.0066,0.01
69,у,10,2,0.0066,0.01
70,ах,10,2,0.0066,0.01
71,жизни,11,1,0.0033,0.009
72,приходится,11,1,0.0033,0.009
73,очень,11,1,0.0033,0.009
74,много,11,1,0.0033,0.009
75,опровергать,11,1,0.0033,0.009
76,мнение,11,1,0.0033,0.009
77,других,11,1,0.0033,0.009
78,соглашаться,11,1,0.0033,0.009
79,лучше,11,1,0.0033,0.009
80,проявляет,11,1,0.0033,0.009
81,воспитанность,11,1,0.0033,0.009
82,дискуссию,11,1,0.0033,0.009
83,спорит,11,1,0.0033,0.009
84,отстаивая,11,1,0.0033,0.009
85,убеждения,11,1,0.0033,0.009
86,обнаруживается,11,1,0.0033,0.009
87,интеллигентность,11,1,0.0033,0.009
88,логичность,11,1,0.0033,0.009
89,мышления,11,1,0.0033,0.009
90,вежливость,11,1,0.0033,0.009
91,умение,11,1,0.0033,0.009
92,уважать,11,1,0.0033,0.009
93,людей,11,1,0.0033,0.009
94,самоуважение,11,1,0.0033,0.009
95,заботится,11,1,0.0033,0.009
96,столько,11,1,0.0033,0.009
97,об,11,1,0.0033,0.009
98,истине,11,1,0.0033,0.009
99,сколько,11,1,0.0033,0.009
100,о,11,1,0.0033,0.009
101,победе,11,1,0.0033,0.009
102,противником,11,1,0.0033,0.009
103,умеет,11,1,0.0033,0.009
104,выслушать,11,1,0.0033,0.009
105,стремится,11,1,0.0033,0.009
106,перекричать,11,1,0.0033,0.009
107,испугать,11,1,0.0033,0.009
108,обвинениями,11,1,0.0033,0.009
109,умный,11,1,0.0033,0.009
110,вежливый,11,1,0.0033,0.009
111,спорщик,11,1,0.0033,0.009
112,прежде,11,1,0.0033,0.009
113,выслушивает,11,1,0.0033,0.009
114,человека,11,1,0.0033,0.009
115,согласен,11,1,0.0033,0.009
116,мнением,11,1,0.0033,0.009
117,больше,11,1,0.0033,0.009
118,что-либо,11,1,0.0033,0.009
119,неясно,11,1,0.0033,0.009
120,позициях,11,1,0.0033,0.009
121,задает,11,1,0.0033,0.009
122,дополнительные,11,1,0.0033,0.009
123,вопросы,11,1,0.0033,0.009
124,еще,11,1,0.0033,0.009
125,даже,11,1,0.0033,0.009
126,все,11,1,0.0033,0.009
127,ясны,11,1,0.0033,0.009
128,выберет,11,1,0.0033,0.009
129,самые,11,1,0.0033,0.009
130,слабые,11,1,0.0033,0.009
131,пункты,11,1,0.0033,0.009
132,утверждениях,11,1,0.0033,0.009
133,переспросит,11,1,0.0033,0.009
134,ли,11,1,0.0033,0.009
135,утверждает,11,1,0.0033,0.009
136,выслушивая,11,1,0.0033,0.009
137,достигает,11,1,0.0033,0.009
138,трех,11,1,0.0033,0.009
139,целей,11,1,0.0033,0.009
140,сможет,11,1,0.0033,0.009
141,возразить,11,1,0.0033,0.009
142,неправильно,11,1,0.0033,0.009
143,поняли,11,1,0.0033,0.009
144,этого,11,1,0.0033,0.009
145,утверждал,11,1,0.0033,0.009
146,внимательным,11,1,0.0033,0.009
147,отношением,11,1,0.0033,0.009
148,мнению,11,1,0.0033,0.009
149,завоевывает,11,1,0.0033,0.009
150,симпатии,11,1,0.0033,0.009
151,среди,11,1,0.0033,0.009
152,тех,11,1,0.0033,0.009
153,кто,11,1,0.0033,0.009
154,наблюдает,11,1,0.0033,0.009
155,слушая,11,1,0.0033,0.009
156,выигрывает,11,1,0.0033,0.009
157,время,11,1,0.0033,0.009
158,обдумать,11,1,0.0033,0.009
159,собственные,11,1,0.0033,0.009
160,возражения,11,1,0.0033,0.009
161,а,11,1,0.0033,0.009
162,тоже,11,1,0.0033,0.009
163,немаловажно,11,1,0.0033,0.009
164,уточнить,11,1,0.0033,0.009
165,дальнейшем,11,1,0.0033,0.009
166,возражая,11,1,0.0033,0.009
167,никогда,11,1,0.0033,0.009
168,следует,11,1,0.0033,0.009
169,прибегать,11,1,0.0033,0.009
170,недозволенным,11,1,0.0033,0.009
171,приемам,11,1,0.0033,0.009
172,придерживаться,11,1,0.0033,0.009
173,следующих,11,1,0.0033,0.009
174,правил,11,1,0.0033,0.009
175,обвинять,11,1,0.0033,0.009
176,читать,11,1,0.0033,0.009
177,сердце,11,1,0.0033,0.009
178,пытаться,11,1,0.0033,0.009
179,проникнуть,11,1,0.0033,0.009
180,мотивы,11,1,0.0033,0.009
181,стоите,11,1,0.0033,0.009
182,этой,11,1,0.0033,0.009
183,точке,11,1,0.0033,0.009
184,зрения,11,1,0.0033,0.009
185,она,11,1,0.0033,0.009
186,вам,11,1,0.0033,0.009
187,выгодна,11,1,0.0033,0.009
188,так,11,1,0.0033,0.009
189,говорите,11,1,0.0033,0.009
190,сам,11,1,0.0033,0.009
191,такой,11,1,0.0033,0.009
192,тп,11,1,0.0033,0.009
193,отклоняться,11,1,0.0033,0.009
194,сторону,11,1,0.0033,0.009
195,темы,11,1,0.0033,0.009
196,нужно,11,1,0.0033,0.009
197,доводить,11,1,0.0033,0.009
198,конца,11,1,0.0033,0.009
199,есть,11,1,0.0033,0.009
200,опровержения,11,1,0.0033,0.009
201,тезиса,11,1,0.0033,0.009
202,признания,11,1,0.0033,0.009
203,правоты,11,1,0.0033,0.009
204,последнем,11,1,0.0033,0.009
205,своем,11,1,0.0033,0.009
206,утверждении,11,1,0.0033,0.009
207,я,11,1,0.0033,0.009
208,хочу,11,1,0.0033,0.009
209,остановиться,11,1,0.0033,0.009
210,особо,11,1,0.0033,0.009
211,самого,11,1,0.0033,0.009
212,начала,11,1,0.0033,0.009
213,ведете,11,1,0.0033,0.009
214,вежливо,11,1,0.0033,0.009
215,заносчивости,11,1,0.0033,0.009
216,самым,11,1,0.0033,0.009
217,обеспечиваете,11,1,0.0033,0.009
218,спокойное,11,1,0.0033,0.009
219,отступление,11,1,0.0033,0.009
220,красивее,11,1,0.0033,0.009
221,случае,11,1,0.0033,0.009
222,необходимости,11,1,0.0033,0.009
223,признать,11,1,0.0033,0.009
224,полную,11,1,0.0033,0.009
225,частичную,11,1,0.0033,0.009
226,завоевываете,11,1,0.0033,0.009
227,уважение,11,1,0.0033,0.009
228,окружающих,11,1,0.0033,0.009
229,бы,11,1,0.0033,0.009
230,призываете,11,1,0.0033,0.009
231,уступчивости,11,1,0.0033,0.009
232,заставляете,11,1,0.0033,0.009
233,смягчить,11,1,0.0033,0.009
234,крайности,11,1,0.0033,0.009
235,своей,11,1,0.0033,0.009
236,конечно,11,1,0.0033,0.009
237,признавать,11,1,0.0033,0.009
238,можно,11,1,0.0033,0.009
239,тогда,11,1,0.0033,0.009
240,дело,11,1,0.0033,0.009
241,касается,11,1,0.0033,0.009
242,нравственных,11,1,0.0033,0.009
243,принципов,11,1,0.0033,0.009
244,они,11,1,0.0033,0.009
245,всегда,11,1,0.0033,0.009
246,должны,11,1,0.0033,0.009
247,самыми,11,1,0.0033,0.009
248,высокими,11,1,0.0033,0.009
249,флюгером,11,1,0.0033,0.009
250,уступать,11,1,0.0033,0.009
251,оппоненту,11,1,0.0033,0.009
252,понравиться,11,1,0.0033,0.009
253,боже,11,1,0.0033,0.009
254,сохрани,11,1,0.0033,0.009
255,трусости,11,1,0.0033,0.009
256,карьерных,11,1,0.0033,0.009
257,соображений,11,1,0.0033,0.009
258,тд,11,1,0.0033,0.009
259,уступить,11,1,0.0033,0.009
260,вопросе,11,1,0.0033,0.009
261,заставляет,11,1,0.0033,0.009
262,вас,11,1,0.0033,0.009
263,отказаться,11,1,0.0033,0.009
264,своих,11,1,0.0033,0.009
265,надеюсь,11,1,0.0033,0.009
266,высоких,11,1,0.0033,0.009
267,принять,11,1,0.0033,0.009
268,победу,11,1,0.0033,0.009
269,злорадствуя,11,1,0.0033,0.009
270,побежденным,11,1,0.0033,0.009
271,торжествуя,11,1,0.0033,0.009
272,оскорбляя,11,1,0.0033,0.009
273,самолюбия,11,1,0.0033,0.009
274,оппонента,11,1,0.0033,0.009
275,красиво,11,1,0.0033,0.009
276,одно,11,1,0.0033,0.009
277,самых,11,1,0.0033,0.009
278,больших,11,1,0.0033,0.009
279,интеллектуальных,11,1,0.0033,0.009
280,удовольствий,11,1,0.0033,0.009
281,следить,11,1,0.0033,0.009
282,ведется,11,1,0.0033,0.009
283,умелыми,11,1,0.0033,0.009
284,умными,11,1,0.0033,0.009
285,спорщиками,11,1,0.0033,0.009
286,более,11,1,0.0033,0.009
287,глупого,11,1,0.0033,0.009
288,чем,11,1,0.0033,0.009
289,аргументации,11,1,0.0033,0.009
290,гоголя,11,1,0.0033,0.009
291,разговор,11,1,0.0033,0.009
292,двух,11,1,0.0033,0.009
293,дам,11,1,0.0033,0.009
294,мертвых,11,1,0.0033,0.009
295,душах,11,1,0.0033,0.009
296,милая,11,1,0.0033,0.009
297,спорящего,11,1,0.0033,0.009
298,аргументов,11,1,0.0033,0.009
299,появляются,11,1,0.0033,0.009
300,просто,11,1,0.0033,0.009
301,мнения,11,1,0.0033,0.009
